LuzDeEsperanza;DG GEB-GESST;TeresaH88-DanielC20-RamonGarcia54-AlbertoGarcia21-JorgeRamirez78-FernandoMartin65;21-5-2010/03-2-2010/13-2-2016/15-2-2009/18-10-2010/18-10-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;DanielC20-JorgeRamirez78-FernandoMartin65
PuentesDeAmor;externETSE/GEI-GESST;LuciaMartinez45-PabloOrtega32-CarmenLopez11-TeresaMolina78-PabloDiaz90;3-4-2022/08-6-2011/15-1-2015/15-12-2001/15-6-2016;99-99-9999/11-12-2024/99-99-9999/99-99-9999/99-99-9999;LuciaMartinez45-CarmenLopez11-PabloDiaz90
JuntosPorElCambio;GEB/BioGEI;FernandoC96-AlvaroH77-SilviaPerez01-JorgeDiaz23-CristinaPerez34-LuciaOrtega76;1-3-2020/17-3-2012/5-7-2006/18-9-2004/20-6-2016/21-5-2017;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AlvaroH77-CristinaPerez34-LuciaOrtega76
VocesDelMundo;BioGEI/GESST/GEI;RaulGomez21-VictorMartin87-MiguelLopez45-AndreaLopez65-CarlaSanz21-SandraHernandez45;29-10-2020/8-9-2003/11-11-2017/19-10-2001/8-11-2023/18-9-2019;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AndreaLopez65-CarlaSanz21-SandraHernandez45
HogaresFelices;DG GEB-GESST/BioGEI/GESST;CristinaHernandez78-SofiaCano99-JorgeMendez34-CarmenGarcia90-MariaLopez87-AntonioLopez54;10-6-2019/15-10-2013/15-12-2021/12-12-2001/15-5-2006/21-5-2015;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;CarmenGarcia90-MariaLopez87-AntonioLopez54
SemillasDePaz;externETSE/GEI/GEB;DavidGarcia32-AnaLopez12-JuliaPerez76-FernandoGarcia12-MarioMendez87;4-8-2014/1-7-2022/04-9-2018/21-3-2003/18-9-2019;99-99-9999/1-11-2023/99-99-9999/99-99-9999/99-99-9999;DavidGarcia32-JuliaPerez76-MarioMendez87
CaminosDeVida;BioGEI/GEB/GESST;PedroSantos90-ElenaRuiz21-BeatrizMartin88-PabloDiaz90;20-7-2020/19-1-2011/5-10-2015/14-9-2009;99-99-9999/99-99-9999/99-99-9999/99-99-9999;ElenaRuiz21-BeatrizMartin88-PabloDiaz90
AlasDeLibertad;GESST/GEB;LauraRamirez66-JavierLopez23-RicardoVidal54-ElenaPerez45-RafaelSantos32;15-1-2015/21-5-2015/28-4-2022/8-9-2016/17-9-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;JavierLopez23-ElenaPerez45-RafaelSantos32
EnergiaJuvenil;DG GEB-GESST/externETSE/GEI;MariaGonzalez12-EstherFernandez65-AlejandroHernandez99-PabloMartin99-AnaDiaz43-ClaraGarcia12;11-3-2020/18-11-2016/15-1-2015/17-6-2019/16-9-2009/21-12-2020;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AlejandroHernandez99-PabloMartin99-ClaraGarcia12
LazosDeAmistad;GEB;TeresaMolina78-AntonioPerez90-SandraLopez32-MiguelLopez21-LuciaOrtega76-MarioMendez87;1-3-2020/10-7-2017/18-4-2020/27-9-2009/15-8-2008/14-8-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SandraLopez32-LuciaOrtega76-MarioMendez87
UnidosPorLaVida;GEI/BioGEI/DG GEB-GESST;RafaelSanz01-CristinaDiaz21-FernandoGarcia34-ClaraHernandez12-SandraHernandez45-MiguelRamirez45;25-12-2015/4-12-2017/8-8-2008/11-11-2017/12-10-2021/14-5-2014;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;CristinaDiaz21-SandraHernandez45-MiguelRamirez45
PuentesDeSolidaridad;GESST/DG GEB-GESST/BioGEI;JoseMartin65-FernandoGarcia34-AnaSantos88-BeatrizDiaz99;1-12-2005/5-10-2010/30-8-2020/19-10-2015;99-99-999/99-99-9999/99-99-9999/99-99-9999;JoseMartin65-AnaSantos88-BeatrizDiaz99
ManosQueAyudan;externETSE/GEB/GEI;MiguelLopez45-PabloHernandez12-LauraSanchez78-BeatrizSanz78-SofiaRamirez23-PabloHernandez54-AdrianCano21;30-6-2017/2-9-2018/16-9-2018/16-12-2001/15-8-2014/28-1-2017/5-5-2015;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;BeatrizSanz78-PabloHernandez54-AdrianCano21
CorazonesSolidarios;BioGEI/GEI/DG GEB-GESST;CarmenGarcia90-CarlosOrtega65-RaulPerez87-RafaelOrtega43-MariaDiaz78-AntonioLopez54-LuciaHernandez78;13-1-2019/8-10-2017/07-1-2023/18-12-2006/8-2-2011/7-4-2015/7-11-2015;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;RaulPerez87-AntonioLopez54-LuciaHernandez78
SonrisasDeEsperanza;GEB/GESST;JuliaDiaz43-LuciaRamirez34-SandraMartin12-TeresaLopez76-CristinaSanz34;14-11-2020/21-5-2019/15-5-2005/7-5-2006/8-9-2019;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaRamirez34-SandraMartin12-CristinaSanz34
UnidosPorElDeporte;DG GEB-GESST/externETSE/BioGEI/GEI;MiguelSanz99-PedroMartin32-BeatrizLopez65-SandraDiaz21-LuciaHernandez78;15-1-2015/29-3-2020/05-2-2022/9-8-2008/7-8-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;BeatrizLopez65-SandraDiaz21-LuciaHernandez78
EsperanzaYFuturo;BioGEI/GESST;CristinaRamirez21-AntonioDiaz78-RamonVidal12-RafaelSanz01-RafaelSantos32-AnaDiaz87;27-7-2016/7-8-2016/11-11-2017/15-10-2005/17-9-2015/8-1-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AntonioDiaz78-RafaelSantos32-AnaDiaz87
VocesDeEsperanza;GEB/GEI/DG GEB-GESST;ElenaPerez45-ManuelSantos32-LuciaGomez90-JavierLopez32-ElenaMartin90-MiguelRamirez45;8-9-2017/14-6-2021/19-3-2021/27-8-2004/8-12-2010/14-9-2019;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaGomez90-ElenaMartin90-MiguelRamirez45
HogaresDePaz;GESST/GEI/BioGEI/GEB;JorgeDiaz23-MariaLopez87-LauraOrtega45-CristinaOrtega23-CarlosRamirez45-ClaraGarcia12-BeatrizDiaz99-AdrianCano21;25-11-2022/30-1-2021/12-5-2020/9-8-2004/8-9-2001/21-7-2016/7-4-2015/8-8-2016;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;ClaraGarcia12-BeatrizDiaz99-AdrianCano21
SemillasDeAmor;externETSE/BioGEI/GESST;FernandoGarcia12-SandraPerez32-CristianHernandez65-JorgeMendez34-CristinaSanz34;23-12-2021/18-10-2018/8-7-2023/19-8-2007/8-10-2010;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SandraPerez32-CristianHernandez65-CristinaSanz34
LazosDeSolidaridad;GEB/GEI/DG GEB-GESST;BeatrizSanz78-CarlosPerez34-LuciaMartinez12-JavierLopez32-LauraLopez76-JorgeOrtega45;15-1-2015/11-8-2023/03-3-2021/14-6-2016/8-4-2015/18-4-2017;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaMartinez12-LauraLopez76-JorgeOrtega45
CaminosDeEsperanza;GESST/DG GEB-GESST;SofiaRamirez23-JorgeHernandez65-LauraGomez99-MiguelCano88;24-8-2019/17-9-2003/11-11-2017/8-12-2010;11-12-2024/99-99-9999/99-99-9999/99-99-9999;JorgeHernandez65-LauraGomez99-MiguelCano88
ImpulsoActivo;externETSE/BioGEI/GEI/GEB;MariaDiaz78-PedroSanz32-VictorLopez45-AlbertoGarcia21-LuciaDiaz99-JorgeOrtega45-FernandoSantos12;2-7-2020/20-5-2022/10-10-2021/7-8-2008/8-6-2009/7-10-2017/7-8-2015;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-999;LuciaDiaz99-JorgeOrtega45-FernandoSantos12
AlasDeEsperanza;BioGEI/GEB/GESST;SandraDiaz21-MiguelGarcia65-LuciaSantos78-JuliaDiaz43-AnaDiaz87-CarmenMartin21;6-4-2023/7-1-2001/11-11-2017/16-12-2005/7-7-2017/8-10-2016;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaSantos78-AnaDiaz87-CarmenMartin21
UnidosPorElCambio;GESST/BioGEI;JavierLopez32-CristinaOrtega23-PabloDiaz87-LauraA23-SilviaPerez01-PabloCano78;2-4-2021/24-11-2018/26-12-2019/15-9-2006/25-6-2004/7-7-2018;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999;PabloDiaz87-LauraA23-PabloCano78
PuentesDeVida;DG GEB-GESST/GEB;CarlosRamirez45-BeatrizLopez12-LauraSantos78-ElenaCano76-SandraPerez34;9-11-2018/21-2-2020/15-6-2013/27-8-2009/17-8-2016;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;BeatrizLopez12-ElenaCano76-SandraPerez34
ManosDeAmor;externETSE/BioGEI/GESST/GEI;FernandoHernandez32-RamonDiaz65-LuciaOrtega21-CarlaRamirez32-AntonioRamirez99;15-1-2015/30-12-2016/15-6-2017/24-6-2003/18-5-2017;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaOrtega21-CarlaRamirez32-AntonioRamirez99
CorazonesDeEsperanza;GEI/BioGEI/DG GEB-GESST;SofiaGarcia43-AlexSmith01-pedrito99-MiguelOrtega45-PabloMartin99;7-5-2021/19-6-2018/22-1-2020/18-5-2010/17-9-2010;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999;pedrito99-MiguelOrtega45-PabloMartin99
SonrisasDeAmor;GEB;JuliaDiaz93-marcoA93-CarlosLopez12-VictorRamirez34-FernandoSantos12-CarlaDiaz45;3-5-2017/2-12-2016/22-1-2020/7-7-2007/8-4-2016/8-8-2017;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;marcoA93-FernandoSantos12-CarlaDiaz45
LuzDeVida;GESST;Ana20Ferrer-santiGomez99-Miguel21Perez-CarmenMartin21-AdrianHernandez54;11-8-2022/19-7-2021/25-4-2017/9-9-2016/7-8-2015;99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;santiGomez99-CarmenMartin21-AdrianHernandez54
EsperanzaYAmor;BioGEI/DG GEB-GESST;LauraA23-TeresaH88-DanielC20-FernandoSanz87-PabloCano78-LuciaMartin76;15-1-2015/27-7-2019/16-5-2020/11-5-2004/18-4-2018/30-1-2021;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;DanielC20-AlvaroH77-LuciaMartin76
VocesDeAmor;externETSE/DG GEB-GESST;RamonGarcia54-LuciaMartinez45-PabloOrtega32-BeatrizHernandez45-CristinaLopez87;1-6-2017/9-10-2017/15-1-2015/5-1-2001/8-5-2016;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaMartinez45-BeatrizHernandez45-CristinaLopez87
HogaresDeEsperanza;GEI/BioGEI/GEB/DG GEB-GESST;CarmenLopez11-LauraA23-FernandoC96-AlvaroH77-LauraLopez76;1-3-2020/21-9-2006/12-2-2020/24-8-2008/19-10-2015;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LauraA23-AlvaroH77-LauraLopez76
SemillasDeSolidaridad;BioGEI/GEI;SilviaPerez01-RaulGomez21-VictorMartin87-SofiaMartin99-MarioPerez12;1-3-2020/6-8-2021/30-3-2022/9-10-2018/10-9-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;RaulGomez21-SofiaMartin99-MarioPerez12
LazosDeVida;GESST/DG GEB-GESST/GEB;AndreaLopez65-CristinaHernandez78-SofiaCano99-MariaDiaz78-SandraPerez34-BeatrizOrtega99;20-4-2019/13-9-2020/7-8-2009/12-5-2003/14-2-2020/17-4-2019;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SofiaCano99-SandraPerez34-BeatrizOrtega99
CaminosDeSolidaridad;externETSE/GEI/GESST;DavidGarcia32-AnaLopez12-JuliaPerez76-LauraGarcia21;15-1-2015/22-7-2019/28-2-2022/16-11-2018;99-99-9999/99-99-9999/99-99-9999/99-99-9999;DavidGarcia32-JuliaPerez76-LauraGarcia21
JuntosPorTarragona;BioGEI/GEB;PedroSantos90-ElenaRuiz21-BeatrizMartin88-CarlaDiaz45;30-4-2020/24-11-2016/7-5-2016/9-9-2019;99-99-9999/99-99-9999/99-99-9999/99-99-9999;ElenaRuiz21-BeatrizMartin88-CarlaDiaz45
AlasDeSolidaridad;GESST/GEI/BioGEI;LauraRamirez66-JavierLopez23-RicardoVidal54-JuliaDiaz43-AntonioRamirez99-LuciaMartin76;15-1-2015/15-4-2022/01-10-2021/5-10-2020/7-9-2015/7-8-2015;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;JavierLopez23-AntonioRamirez99-LuciaMartin76
UnidosPorElFuturo;DG GEB-GESST/externETSE;MariaGonzalez12-EstherFernandez65-AlejandroHernandez99-MiguelSanz99;7-3-2020/17-1-2023/15-1-2015/21-5-2006;99-99-9999/11-12-2024/99-99-9999/99-99-9999;MariaGonzalez12-AlejandroHernandez99-MiguelSanz99
PuentesDeAmor;GEB/GESST/BioGEI;TeresaMolina78-AntonioPerez90-SandraLopez32-MariaLopez87-FernandoSanz65;1-3-2020/10-5-2020/6-9-2020/21-9-2007/17-8-2019;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SandraLopez32-MariaLopez87-FernandoSanz65
ManosDeEsperanza;GEI/GEI/DG GEB-GESST;RafaelSanz01-CristinaDiaz21-ClaraHernandez12-ElenaMartin90-ClaraRamirez45;12-12-2020/23-11-2005/11-11-2017/25-5-2004/18-1-2019;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;CristinaDiaz21-ElenaMartin90-ClaraRamirez45
CorazonesDeVida;GESST/DG GEB-GESST;JoseMartin65-FernandoGarcia34-AnaSantos88-MiguelSanz99-JuanLopez90;21-6-2019/13-11-2016/16-7-2018/15-12-2005/23-3-2004;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999;AnaSantos88-MiguelSanz99-JuanLopez90
SonrisasDeSolidaridad;externETSE/GESST/DG GEB-GESST/GEI;MiguelLopez45-PabloHernandez12-LauraSanchez78-JorgeDiaz23-PabloSanchez65-AdrianHernandez54-CristinaLopez87-PabloDiaz76;24-3-2019/28-4-2019/23-5-2020/17-6-2015/4-11-2015/8-9-2016/7-10-2011/18-2-2021;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AdrianHernandez54-CristinaLopez87-PabloDiaz76
LuzDeAmor;BioGEI/GEI/GEB;CarmenGarcia90-CarlosOrtega65-FernandoGarcia12-RaulPerez87-MarioPerez12-SandraHernandez34;27-9-2022/04-12-2021/25-5-2005/18-10-2013/8-10-2015/14-10-2023;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;RaulPerez87-MarioPerez12-SandraHernandez34
EsperanzaYVida;GESST/GEB;JuliaDiaz43-SandraMartin12-TeresaLopez76-CristinaRamirez21-BeatrizOrtega99-RafaelLopez78;15-1-2015/27-9-2020/11-1-2022/15-10-2004/17-9-2019/7-10-2015;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SandraMartin12-BeatrizOrtega99-RafaelLopez78
VocesDeVida;DG GEB-GESST/externETSE/GESST/BioGEI;MiguelSanz99-PedroMartin32-BeatrizLopez65-CarlosRamirez45-LauraGarcia21-LuciaOrtega54;18-8-2020/7-7-2007/11-11-2017/8-5-2016/8-12-2023/17-4-2021;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;BeatrizLopez65-LauraGarcia21-LuciaOrtega54
HogaresDeAmor;BioGEI/externETSE/DG GEB-GESST;CristinaRamirez21-AntonioDiaz78-RamonVidal12-FernandoHernandez32-MiguelCano88-AntonioCano45;2-3-2019/11-6-2018/25-8-2021/15-2-2002/8-5-2009/9-1-2017;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;FernandoHernandez32-MiguelCano88-AntonioCano45
SemillasDeEsperanza;GEB/GEI/BioGEI;ElenaPerez45-ManuelSantos32-LuciaGomez90-MiguelLopez21-FernandoSanz65-MarioRamirez21;14-7-2019/30-5-2020/31-1-2024/15-5-2013/20-10-2018/7-1-2018;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaGomez90-FernandoSanz65-MarioRamirez21
LazosDeAmor;GESST/DG GEB-GESST/GEB;JorgeDiaz23-MariaLopez87-LauraOrtega45-AndreaLopez65-VictorRamirez34-ClaraRamirez45-CristinaSantos76;22-1-2020/17-5-2017/09-4-2021/18-5-2006/14-5-2006/17-11-2017/10-2-2017;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AndreaLopez65-ClaraRamirez45-CristinaSantos76
Futbolitos;externETSE/BioGEI/GESST;FernandoGarcia12-SandraPerez32-CristianHernandez65-RafaelOrtega43-JorgeDiaz12;10-10-2020/03-8-2022/7-8-2008/19-12-2001/1-8-2021;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SandraPerez32-CristianHernandez65-JorgeDiaz12
Jaimitos;GEB/GEI/BioGEI;BeatrizSanz78-CarlosPerez34-LuciaMartinez12-SandraDiaz21-LauraMartin87;15-1-2015/5-7-2021/20-1-2023/7-10-2010/8-11-2015;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaMartinez12-SandraDiaz21-LauraMartin87
AlasDeVida;GESST/DG GEB-GESST/BioGEI;SofiaRamirez23-JorgeHernandez65-LauraGomez99-CarolinaDiaz45;27-11-2018/7-7-200722-9-2009/11-11-2017/18-9-2009;11-12-2024/99-99-9999/99-99-9999/99-99-9999;JorgeHernandez65-LauraGomez99-CarolinaDiaz45
UnidosPorLaEsperanza;externETSE/GEI/GEB/DG GEB-GESST;MariaDiaz78-PedroSanz32-VictorLopez45-AnaDiaz43-ClaudiaDiaz12-PabloDiaz76-SandraHernandez34-SandraLopez34;29-3-2021/16-5-2017/21-9-2005/17-2-2020/7-12-2012/17-8-2018/8-5-2017/8-6-2014;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;PabloDiaz76-SandraHernandez34-SandraLopez34
Luchadores;BioGEI/GEB/GEI;SandraDiaz21-MiguelGarcia65-LuciaSantos78-LuciaDiaz99-FernandoOrtega45;13-4-2019/12-10-2020/11-11-2017/5-4-2001/17-12-2014;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaSantos78-LuciaDiaz99-FernandoOrtega45
ManosDeVida;GESST/GEB;JavierLopez32-CristinaOrtega23-PabloDiaz87-CristinaOrtega23-SilviaCano78-RafaelLopez78-AdrianGarcia65;23-11-2021/13-1-2022/22-8-2020/9-4-2002/5-11-2011/18-9-2018/9-10-2021;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;PabloDiaz87-RafaelLopez78-AdrianGarcia65
CorazonesDeSolidaridad;DG GEB-GESST/externETSE/GESST;CarlosRamirez45-BeatrizLopez12-LauraSantos78-DanielOrtega32-ClaraCano78;8-1-2021/05-10-2021/16-8-2016/8-4-2001/17-9-2018;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;BeatrizLopez12-DanielOrtega32-ClaraCano78
SonrisasDeVida;externETSE/BioGEI/DG GEB-GESST;FernandoHernandez32-RamonDiaz65-LuciaOrtega21-CarolinaDiaz45-SandraLopez34;15-1-2015/14-12-2019/27-6-2017/15-8-2001/17-9-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaOrtega21-CarolinaDiaz45-SandraLopez34
LuzDeSolidaridad;GEI/GESST;SofiaGarcia43-AlexSmith01-pedrito99-RafaelMartin76-JuanLopez90;19-4-2020/1-3-2022/16-10-2022/15-10-2010/8-12-2021;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999;pedrito99-RafaelMartin76-JuanLopez90
EsperanzaYSolidaridad;GEB/GESST/GEI;JuliaDiaz93-marcoA93-CarlosLopez12-AndreaLopez65-FernandoOrtega45;17-9-2020/7-3-2021/26-9-2018/8-11-2006/21-2-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;marcoA93-AndreaLopez65-FernandoOrtega45
VocesDeSolidaridad;GESST/BioGEI;Ana20Ferrer-santiGomez99-Miguel21Perez-LuciaOrtega54-LauraMartin87;4-11-2021/23-7-2019/7-7-2007/1-7-2018/17-8-2014;99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;santiGomez99-LuciaOrtega54-LauraMartin87
HogaresDeSolidaridad;BioGEI/DG GEB-GESST/externETSE;LauraA23-TeresaH88-DanielC20-PedroSanz32-AndreaMendez90-LuciaGimenez99;15-1-2015/28-10-2018/12-8-2022/28-9-2006/25-4-2004/7-6-2016;11-12-2024/20-12-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999;DanielC20-PedroSanz32-LuciaGimenez99
SemillasDeVida;externETSE/GESST/DG GEB-GESST/GEB;RamonGarcia54-LuciaMartinez45-PabloOrtega32-SilviaCano78-JoseMartin65-AntonioCano45-AdrianGarcia65;14-5-2020/5-6-2020/15-1-2015/20-10-2010/20-10-2021/17-8-2015/8-1-2019;11-12-2024/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;JoseMartin65-AntonioCano45-AdrianGarcia65
LazosDeEsperanza;GEI/GEB;CarmenLopez11-FernandoC96-AlvaroH77-ElenaPerez45-CristinaSantos76;1-3-2020/11-5-2017/15-8-2003/21-1-2001/18-9-2016;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AlvaroH77-ElenaPerez45-CristinaSantos76
CaminosDeAmor;BioGEI/GEI/GESST;SilviaPerez01-RaulGomez21-VictorMartin87-ClaraMendez54-MarioRamirez21-ClaraCano78;21-12-2016/09-6-2020/23-5-2016/8-8-2008/18-9-2015/14-9-2019;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;RaulGomez21-MarioRamirez21-ClaraCano78
DaciasSandero;GESST/DG GEB-GESST/GEB;AndreaLopez65-CristinaHernandez78-SofiaCano99-LuciaRamirez34-JorgeDiaz12;15-1-2015/30-8-2016/24-7-2021/17-9-2010/18-9-2017;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;SofiaCano99-LuciaRamirez34-JorgeDiaz12
ManosDeSolidaridad;DG GEB-GESST/externETSE/BioGEI;MariaGonzalez12-EstherFernandez65-AlejandroHernandez99-SofiaMartin99-BeatrizRamirez12;15-1-2015/20-12-2017/18-6-2019/9-8-2005/9-1-2021;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;AlejandroHernandez99-SofiaMartin99-BeatrizRamirez12
